,Pop.Density(persq.mi.),Coastline(coast/arearatio),Netmigration,Infantmortality(per1000births),GDP($percapita),Literacy(%),Phones(per1000),Arable(%),Crops(%),Other(%),Climate,Birthrate,Deathrate,Agriculture,Industry,Service,Population,Area(sq.mi.)
107,59.6,0.09000000000000002,-0.1,61.47,1000.0,85.1,8.1,8.08,0.9800000000000002,90.94,1.5,39.72,14.02,0.16300000000000003,0.18800000000000006,0.6510000000000001,34707817,582650
109,191.8,2.07,0.0,24.04,1300.0,99.0,42.4,20.76,2.49,76.75,3.0,15.540000000000001,7.13,0.30000000000000004,0.3400000000000001,0.3600000000000001,23113019,120540
110,496.0,2.45,0.0,7.05,17800.0,97.9,486.1,17.18,1.9500000000000002,80.87,3.0,10.0,5.8500000000000005,0.03300000000000001,0.4030000000000001,0.5630000000000002,48846823,98480
111,135.7,2.8000000000000003,14.18,9.95,19000.0,83.5,211.0,0.7300000000000001,0.11000000000000001,99.16,1.0,21.94,2.41,0.004000000000000001,0.4790000000000001,0.5160000000000001,2418393,17820
112,26.3,0.0,-2.45,35.64,1600.0,97.0,84.0,7.3,0.3500000000000001,92.35,2.5,22.8,7.08,0.3530000000000001,0.20800000000000005,0.4390000000000001,5213898,198500
113,26.9,0.0,0.0,85.22,1700.0,66.4,14.1,3.8,0.3500000000000001,95.85,2.0,35.49,11.55,0.4550000000000001,0.2870000000000001,0.25800000000000006,6368481,236800
114,35.2,0.8200000000000002,-2.23,9.55,10200.0,99.8,321.4,29.67,0.4700000000000001,69.86,3.0,9.24,13.66,0.04000000000000001,0.26100000000000007,0.6990000000000002,2274735,64589
116,66.6,0.0,-0.7400000000000001,84.23,3000.0,84.8,23.7,10.870000000000001,0.13000000000000003,89.0,3.0,24.75,28.71,0.16300000000000003,0.4430000000000001,0.3940000000000001,2022331,30355
117,27.3,0.5200000000000001,0.0,128.87,1000.0,57.5,2.3,3.95,2.2800000000000002,93.77,2.0,44.77,23.1,0.7690000000000001,0.05400000000000001,0.17700000000000005,3042004,111370
119,212.4,0.0,4.8500000000000005,4.7,25000.0,100.0,585.5,25.0,0.0,75.0,4.0,10.21,7.18,0.06000000000000001,0.39000000000000007,0.5500000000000002,33987,160
122,16183.0,146.43,4.86,4.39,19400.0,94.5,384.9,0.0,0.0,100.0,2.0,8.48,4.47,0.0010000000000000002,0.07200000000000002,0.9270000000000003,453125,28
124,31.7,0.8200000000000002,0.0,76.83,800.0,68.9,3.6,5.07,1.03,93.91,2.0,41.41,11.11,0.2760000000000001,0.16500000000000004,0.5590000000000002,18595469,587040
125,109.8,0.0,0.0,103.32,600.0,62.7,7.9,23.38,1.4900000000000002,75.13,2.0,43.13,19.33,0.3420000000000001,0.15800000000000003,0.4990000000000001,13013926,118480
126,74.0,1.4200000000000002,0.0,17.7,9000.0,88.7,179.0,5.48,17.61,76.91,2.0,22.86,5.05,0.08400000000000002,0.4800000000000001,0.4360000000000001,24385858,329750
127,1196.7,214.67,0.0,56.52,3900.0,97.2,90.0,13.33,16.67,70.0,2.0,34.81,7.06,0.2,0.18000000000000005,0.6200000000000001,359008,300
128,9.5,0.0,-0.33000000000000007,116.79,900.0,46.4,6.4,3.8200000000000003,0.030000000000000006,96.15,2.0,49.82,16.89,0.45000000000000007,0.17000000000000004,0.38000000000000006,11716829,1240000
130,5.1,3.12,-6.04,29.45,1600.0,93.7,91.2,16.67,38.89,44.44,2.0,33.05,4.78,0.31700000000000006,0.14900000000000005,0.5340000000000001,60422,11854
131,396.5,31.82,-0.05000000000000001,7.09,14400.0,97.7,394.4,10.38,9.43,80.19,2.0,13.74,6.48,0.06000000000000001,0.11000000000000001,0.8300000000000002,436131,1100
132,3.1,0.07,0.0,70.89,1800.0,41.7,12.9,0.4800000000000001,0.010000000000000002,99.51,1.0,40.99,12.16,0.25000000000000006,0.29000000000000004,0.4600000000000001,3177388,1030700
133,608.3,8.68,-0.9,15.03,11400.0,85.6,289.3,49.26,2.96,47.78,2.0,15.43,6.86,0.05900000000000001,0.2980000000000001,0.6430000000000001,1240827,2040
135,54.5,0.4700000000000001,-4.87,20.91,9000.0,92.2,181.6,12.99,1.31,85.7,1.5,20.69,4.74,0.038000000000000006,0.25900000000000006,0.7020000000000002,107449525,1972550
136,153.9,870.66,-20.990000000000002,30.21,2000.0,89.0,114.8,5.71,45.71,48.58,2.0,24.68,4.75,0.2890000000000001,0.15200000000000002,0.5590000000000002,108004,702
139,1.8,0.0,0.0,53.79,1800.0,97.8,55.1,0.7700000000000001,0.0,99.23,1.0,21.59,6.95,0.20600000000000004,0.21400000000000005,0.5800000000000001,2832224,1564116
142,24.6,0.31000000000000005,0.0,130.79,1200.0,47.8,3.5,5.1,0.30000000000000004,94.6,2.0,35.18,21.35,0.26200000000000007,0.3480000000000001,0.39000000000000007,19686505,801590
143,2.5,0.19000000000000003,0.0,48.98,7200.0,84.0,62.6,0.9900000000000002,0.0,99.01,1.0,24.32,18.86,0.09700000000000002,0.31500000000000006,0.5880000000000002,2044147,825418
146,397.1,1.09,2.91,5.04,28600.0,99.0,460.8,26.71,0.9700000000000002,72.32,3.0,10.9,8.68,0.021000000000000005,0.24400000000000005,0.7360000000000002,16491461,41526
147,231.0,37.92,-0.4100000000000001,10.03,11400.0,96.7,365.3,10.0,0.0,90.0,2.0,14.78,6.45,0.010000000000000002,0.15000000000000002,0.8400000000000002,221736,960
148,11.5,11.83,0.0,7.720000000000001,15000.0,91.0,252.2,0.38000000000000006,0.33000000000000007,99.29,2.0,18.11,5.69,0.15000000000000002,0.08800000000000002,0.7620000000000002,219246,19060
149,15.2,5.63,4.05,5.8500000000000005,21600.0,99.0,441.7,5.6,6.99,87.41,3.0,13.76,7.53,0.04300000000000001,0.2730000000000001,0.6840000000000002,4076140,268680
150,43.0,0.7000000000000002,-1.22,29.11,2300.0,67.5,39.7,15.94,1.9400000000000002,82.12,2.0,24.51,4.45,0.16500000000000004,0.2750000000000001,0.56,5570129,129494
151,9.9,0.0,-0.6700000000000002,121.69,800.0,17.6,1.9,3.54,0.010000000000000002,96.45,1.0,50.73,20.91,0.39000000000000007,0.17000000000000004,0.44000000000000006,12525094,1267000
152,142.7,0.09000000000000002,0.26000000000000006,98.8,900.0,68.0,9.3,31.29,2.96,65.75,1.5,40.43,16.94,0.2690000000000001,0.4870000000000001,0.24400000000000005,131859731,923768
154,14.2,7.7700000000000005,1.7400000000000002,3.7,37800.0,100.0,461.7,2.87,0.0,97.13,3.0,11.46,9.4,0.021000000000000005,0.4150000000000001,0.5640000000000002,4610820,323802
155,14.6,0.9800000000000002,0.28,19.51,13100.0,75.8,85.5,0.0,0.14,99.74,1.0,36.24,3.81,0.027000000000000007,0.39000000000000007,0.5830000000000002,3102229,212460
156,206.2,0.13000000000000003,-2.77,72.44,2100.0,45.7,31.8,27.87,0.8700000000000002,71.26,1.0,29.74,8.23,0.21600000000000005,0.25100000000000006,0.5330000000000001,165803560,803940
157,44.9,331.66,2.85,14.84,9000.0,92.0,325.6,8.7,4.35,86.95,2.0,18.03,6.8,0.06200000000000001,0.12000000000000002,0.8180000000000002,20579,458
158,40.8,3.18,-0.9100000000000001,20.47,6300.0,92.6,137.9,7.36,1.9800000000000002,90.66,2.0,21.74,5.36,0.06800000000000002,0.15600000000000003,0.7760000000000001,3191319,78200
159,12.3,1.11,0.0,51.45,2200.0,64.6,10.9,0.4600000000000001,1.44,98.1,2.0,29.36,7.25,0.3530000000000001,0.3810000000000001,0.26600000000000007,5670544,462840
160,16.0,0.0,-0.08000000000000002,25.63,4700.0,94.0,49.2,7.6,0.23000000000000004,92.17,2.0,29.1,4.49,0.22400000000000006,0.20700000000000005,0.5690000000000002,6506464,406750
161,22.0,0.19000000000000003,-1.05,31.94,5100.0,90.9,79.5,2.89,0.4,96.71,1.5,20.48,6.23,0.08000000000000002,0.2700000000000001,0.6500000000000001,28302603,1285220
162,298.2,12.1,-1.5,23.51,4600.0,92.6,38.4,18.95,16.77,64.28,2.0,24.89,5.41,0.14400000000000004,0.32600000000000007,0.5300000000000001,89468677,300000
163,123.3,0.16000000000000003,-0.4900000000000001,8.51,11100.0,99.8,306.3,45.91,1.12,52.97,3.0,9.85,9.89,0.05000000000000001,0.31100000000000005,0.6400000000000001,38536869,312685
164,114.8,1.9400000000000002,3.5700000000000003,5.05,18000.0,93.3,399.2,21.75,7.8100000000000005,70.44,3.0,10.72,10.5,0.05300000000000001,0.2740000000000001,0.6730000000000002,10605870,92391
165,284.8,3.63,-1.46,8.24,16800.0,94.1,283.1,3.95,5.5200000000000005,90.53,2.0,12.77,7.65,0.010000000000000002,0.45000000000000007,0.5400000000000001,3927188,13790
166,77.4,4.92,16.29,18.61,21500.0,82.5,232.0,1.6400000000000001,0.2700000000000001,98.09,1.0,15.56,4.720000000000001,0.0020000000000000005,0.8010000000000002,0.19700000000000004,885359,11437
167,312.9,8.22,0.0,7.78,5800.0,88.9,380.9,13.6,1.2,85.2,2.0,18.9,5.49,0.08000000000000002,0.19000000000000003,0.7300000000000001,787584,2517
168,93.9,0.09000000000000002,-0.13000000000000003,26.43,7000.0,98.4,196.9,40.82,2.25,56.93,3.0,10.7,11.77,0.10100000000000002,0.3500000000000001,0.5490000000000002,22303552,237500
170,328.4,0.0,0.0,91.23,1300.0,70.4,2.7,40.54,12.16,47.3,3.0,40.37,16.09,0.4010000000000001,0.22900000000000006,0.37000000000000005,8648248,26338
172,149.9,51.72,-7.11,14.49,8800.0,97.0,638.9,19.44,2.7800000000000002,77.78,2.0,18.02,8.33,0.03500000000000001,0.25800000000000006,0.7070000000000002,39129,261
173,273.5,25.65,-2.67,13.53,5400.0,67.0,303.3,6.5600000000000005,22.95,70.49,2.0,19.68,5.08,0.07,0.2,0.7300000000000001,168458,616
175,303.0,21.59,-7.640000000000001,14.78,2900.0,96.0,190.9,17.95,17.95,64.1,2.0,16.18,5.98,0.1,0.26000000000000006,0.6400000000000001,117848,389
176,60.1,13.69,-11.7,27.71,5600.0,99.7,75.2,21.2,24.38,54.42,2.0,16.43,6.62,0.11400000000000003,0.5840000000000002,0.30200000000000005,176908,2944
178,193.2,20.88,-2.72,43.11,1200.0,79.3,36.2,6.25,48.96,44.79,2.0,40.25,6.47,0.16700000000000004,0.14800000000000005,0.6840000000000002,193413,1001
179,13.8,0.13000000000000003,-2.71,13.24,11800.0,78.8,140.6,1.6700000000000002,0.09000000000000002,98.24,1.0,29.34,2.58,0.03300000000000001,0.6130000000000001,0.3540000000000001,27019731,1960582
180,61.1,0.2700000000000001,0.2,55.51,1600.0,40.2,22.2,12.78,0.21000000000000005,87.01,2.0,32.78,9.42,0.17200000000000004,0.20900000000000005,0.6190000000000001,11987121,196190
182,179.2,107.91,-5.69,15.53,7800.0,58.0,262.4,2.22,13.33,84.45,2.0,16.03,6.29,0.03200000000000001,0.30400000000000005,0.6650000000000001,81541,455
183,83.7,0.56,0.0,143.64,500.0,31.4,4.0,6.98,0.8900000000000001,92.13,2.0,45.76,23.03,0.4900000000000001,0.31000000000000005,0.21000000000000005,6005250,71740
184,6482.2,27.85,11.53,2.29,23700.0,92.5,411.4,1.6400000000000001,0.0,98.36,2.0,9.34,4.28,0.0,0.3390000000000001,0.6610000000000001,4492150,693
188,13.9,0.4700000000000001,5.37,116.7,500.0,37.8,11.3,1.6700000000000002,0.04000000000000001,98.29,1.0,45.13,16.63,0.6500000000000001,0.1,0.25000000000000006,8863338,637657
189,36.2,0.23000000000000004,-0.29000000000000004,61.81,10700.0,86.4,107.0,12.08,0.7900000000000001,87.13,1.0,18.2,22.0,0.025000000000000005,0.30300000000000005,0.6710000000000002,44187637,1219912
190,80.0,0.9800000000000002,0.9900000000000002,4.42,22000.0,97.9,453.5,26.07,9.870000000000001,64.06,3.0,10.06,9.72,0.04000000000000001,0.2950000000000001,0.6650000000000001,40397842,504782
191,308.2,2.04,-1.31,14.35,3700.0,92.3,61.5,13.86,15.7,70.44,2.0,15.51,6.5200000000000005,0.17800000000000005,0.2760000000000001,0.5450000000000002,20222240,65610
192,16.5,0.030000000000000006,-0.020000000000000004,62.5,1900.0,61.1,16.3,6.83,0.18000000000000005,92.99,2.0,34.53,8.97,0.38700000000000007,0.20300000000000004,0.4100000000000001,41236378,2505810
193,2.7,0.24000000000000005,-8.81,23.57,4000.0,93.0,184.7,0.37000000000000005,0.06000000000000001,99.57,2.0,18.02,7.2700000000000005,0.13000000000000003,0.22000000000000003,0.6500000000000001,439117,163270
194,65.5,0.0,0.0,69.27,4900.0,81.6,30.8,10.35,0.7000000000000001,88.95,2.5,27.41,29.74,0.11900000000000002,0.5150000000000001,0.3660000000000001,1136334,17363
195,20.0,0.7200000000000002,1.6700000000000002,2.77,26800.0,99.0,715.0,6.54,0.010000000000000002,93.45,3.0,10.27,10.31,0.011000000000000003,0.2820000000000001,0.7070000000000002,9016596,449964
196,182.2,0.0,4.05,4.39,32700.0,99.0,680.9,10.42,0.6100000000000001,88.97,3.0,9.71,8.49,0.015000000000000003,0.3400000000000001,0.6450000000000001,7523934,41290
197,102.0,0.10000000000000002,0.0,29.53,3300.0,76.9,153.8,25.22,4.43,70.35,1.0,27.76,4.8100000000000005,0.24900000000000005,0.23000000000000004,0.5190000000000001,18881361,185180
198,640.3,4.35,0.0,6.4,23400.0,96.1,591.0,24.0,1.0,75.0,2.0,12.56,6.48,0.018000000000000006,0.25900000000000006,0.7230000000000002,23036087,35980
199,51.2,0.0,-2.8600000000000003,110.76,1000.0,99.4,33.5,6.61,0.9200000000000002,92.47,2.0,32.65,8.25,0.23400000000000007,0.2860000000000001,0.4800000000000001,7320815,143100
201,125.7,0.6300000000000001,0.0,20.48,7400.0,92.6,108.9,29.36,6.46,64.18,2.0,13.870000000000001,7.04,0.09900000000000002,0.4410000000000001,0.4600000000000001,64631595,514000
202,97.7,0.10000000000000002,0.0,66.61,1500.0,60.9,10.6,46.15,2.21,51.64,2.0,37.01,9.83,0.3950000000000001,0.20400000000000004,0.4010000000000001,5548702,56785
203,153.3,56.02,0.0,12.620000000000001,2200.0,98.5,97.7,23.61,43.06,33.33,2.0,25.37,5.28,0.23000000000000004,0.2700000000000001,0.5,114689,748
204,207.9,7.06,-10.83,24.31,9500.0,98.6,303.5,14.620000000000001,9.16,76.22,2.0,12.9,10.57,0.007000000000000002,0.5700000000000001,0.4230000000000001,1065842,5128
205,62.2,0.7000000000000002,-0.5700000000000001,24.77,6900.0,74.2,123.6,17.86,13.74,68.4,3.0,15.52,5.13,0.13200000000000003,0.31800000000000006,0.5500000000000002,10175014,163610
206,90.2,0.9200000000000002,0.0,41.04,6700.0,86.5,269.5,30.93,3.31,65.76,3.0,16.62,5.970000000000001,0.11700000000000003,0.2980000000000001,0.5850000000000002,70413958,780580
207,10.3,0.0,-0.8600000000000002,73.08,5800.0,98.0,74.6,3.72,0.14,96.14,1.0,27.61,8.6,0.20900000000000005,0.38000000000000006,0.4110000000000001,5042920,488100
210,119.5,0.0,0.0,67.83,1400.0,69.9,3.6,25.88,10.65,63.47,2.0,47.35,12.24,0.31100000000000005,0.22200000000000006,0.46900000000000014,28195754,236040
211,77.4,0.4600000000000001,-0.39000000000000007,20.34,5400.0,99.7,259.9,56.21,1.61,42.18,3.0,8.82,14.39,0.18700000000000006,0.4520000000000001,0.3610000000000001,46710816,603700
212,31.4,1.59,1.03,14.51,23200.0,77.9,475.3,0.6000000000000001,2.25,97.15,1.0,18.96,4.4,0.04000000000000001,0.5850000000000002,0.3750000000000001,2602713,82880
213,247.6,5.08,2.19,5.16,27700.0,99.0,543.5,23.46,0.21000000000000005,76.33,3.0,10.71,10.13,0.005000000000000001,0.23700000000000004,0.7580000000000002,60609153,244820
214,31.0,0.21000000000000005,3.41,6.5,37800.0,97.0,898.0,19.13,0.22000000000000003,80.65,3.0,14.14,8.26,0.010000000000000002,0.20400000000000004,0.7870000000000001,298444215,9631420
215,19.5,0.37000000000000005,-0.32000000000000006,11.95,12800.0,98.0,291.4,7.43,0.23000000000000004,92.34,3.0,13.91,9.05,0.09300000000000003,0.31100000000000005,0.5960000000000002,3431932,176220
216,61.0,0.0,-1.7200000000000002,71.1,1700.0,99.3,62.9,10.83,0.8300000000000002,88.34,1.0,26.36,7.84,0.3420000000000001,0.22900000000000006,0.4300000000000001,27307134,447400
217,17.1,20.72,0.0,55.16,2900.0,53.0,32.6,2.46,7.38,90.16,2.0,22.72,7.82,0.26000000000000006,0.12000000000000002,0.6200000000000001,208869,12200
218,28.2,0.31000000000000005,-0.04000000000000001,22.2,4800.0,93.4,140.1,2.95,0.9200000000000002,96.13,2.0,18.71,4.92,0.04000000000000001,0.4190000000000001,0.5410000000000001,25730435,912050
219,256.1,1.05,-0.45000000000000007,25.95,2500.0,90.3,187.7,19.97,5.95,74.08,2.0,16.86,6.22,0.20900000000000005,0.4100000000000001,0.3810000000000001,84402966,329560
224,40.6,0.3600000000000001,0.0,61.5,800.0,50.2,37.2,2.7800000000000002,0.24000000000000005,96.98,1.0,42.89,8.3,0.13500000000000004,0.4720000000000001,0.39300000000000007,21456188,527970
225,15.3,0.0,0.0,88.29,800.0,80.6,8.2,7.08,0.030000000000000006,92.9,2.0,41.0,19.93,0.22000000000000003,0.29000000000000004,0.4890000000000001,11502010,752614
226,31.3,0.0,0.0,67.69,1900.0,90.7,26.8,8.32,0.3400000000000001,91.34,2.0,28.01,21.84,0.17900000000000005,0.24300000000000005,0.5790000000000002,12236805,390580
